,id_album,album,id_song,song_name
16,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,3pcPPhPAiurm2Ior11SHrz,Daddy
17,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,7jib2tJjQ82kTIZZATMvAK,WOTW / POTP
18,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,0ZlVUhjO8c0bOx1D2Btznf,Arabesque
19,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,0UvUivL70eDwhTWBd8S38I,When I Need A Friend
20,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,6VzRvCbolqcUswaSPm48rI,Guns
21,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,03T4ttRCiLXST6MZjeMwmR,Orphans
22,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,2HUtNS9qtfgWbnaagK6AAe,Èkó
23,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,4Kwhm5VU4huxmQtBqd1AXo,Cry Cry Cry
24,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,3E3zYgQul8EaJioNvD2tv9,Old Friends
25,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,6DGzLNiawTtntC9NHzeMeY,بنی آدم
26,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,6mf7BNgXs8JipPr2QILnyN,Champion Of The World
27,2FeyIYDDAQqcOJKOKhvHdr,Everyday Life,0h9fnCSnbUgOEgibnQByFv,Everyday Life
28,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,5H8lr4az4Vo3LloH67yVRt,A Head Full of Dreams - Live in Buenos Aires
29,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,2s2Ld1Xm7t88gSVvohNbPL,Yellow - Live in Buenos Aires
30,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,4Q0yfgpERfkp59Pf2tdI4q,Every Teardrop Is a Waterfall - Live in Buenos Aires
31,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,1aZhbOdRqshLS6uPjiO8Y4,The Scientist - Live in Buenos Aires
32,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,2q8WO601qIwLwV4DgXDCiO,God Put a Smile upon Your Face - Live in Buenos Aires
33,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,314gi4w3RdZxlocdWw0Khr,Paradise - Live in Buenos Aires
34,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,0oAchaVoTWj6lXTR6f2dSU,Always in My Head - Live in Buenos Aires
35,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,6EqxH0njjZuuI3gFZN3Z1o,Magic - Live in Buenos Aires
36,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,4U5Cr41d1K6s48GAndvCdM,Everglow - Live in Buenos Aires
37,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,4cHZ7W5R81upaIGZfqWxbB,Clocks - Live in Buenos Aires
38,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,62OqszvOYSuonp6Buj4P74,Midnight - Live in Buenos Aires
39,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,3ksF058sVZ21EgQdRLbUyI,Charlie Brown - Live in Buenos Aires
40,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,0w6X9iRKrMyDpRRtbu4tE0,Hymn for the Weekend - Live in Buenos Aires
41,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,7mGJlNOAOmJ5ptkmujg1Gv,Fix You - Live in Buenos Aires
42,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,4Y9lVjRD82aJOQ2v13UIoF,Viva La Vida - Live in Buenos Aires
43,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,3ERJLifTcWBFNZRl6QAqEC,Adventure of a Lifetime - Live in Buenos Aires
44,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,1aQKPnGNa5vK7aA6lTm4JS,De Música Ligera - Live in Buenos Aires
45,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,5MVyXzR1HARqSkQjhPrNBO,Colour Spectrum - Live in Buenos Aires
46,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,0o7htzPrB8bP0jnyjiqUdj,In My Place - Live in Buenos Aires
47,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,1rAZrYT0Ad4F1RiDaxYknE,Amor Argentina - Live in Buenos Aires
48,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,0hreO9tj5yiYftUuVThaea,Something Just like This - Live in Buenos Aires
49,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,1EMFnyhETKfI52uhI4baGY,A Sky Full of Stars - Live in Buenos Aires
50,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,3glegOEXSkk8HanJe7ZB08,Up&Up - Live in Buenos Aires
51,19CvkGjYpifkdwgVJSbog2,Live in Buenos Aires,6c64ANGY0NfO2YMpbcJUOR,End Credits - Live in Buenos Aires
52,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,6f49kbOuQSOsStBpyGvQfA,A Head Full of Dreams
53,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,3HWDWyIqWuLsTHECx9DvXF,Birds
54,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend
55,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,5qfZRNjt2TkHEL12r3sDEU,Everglow
56,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime
57,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,7fJFDK6XjYsXcMKNHESbot,Fun (feat. Tove Lo)
58,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,7IX7VAXujvcZ3e1PG7sGP7,Kaleidoscope
59,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,4giCxIFPZNQIP4bIZM4sqH,Army of One
60,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,3wtV2ifnHzirkAElgTGh63,Amazing Day
61,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,3VqiD8Yvk6bKwqS1e64PHB,Colour Spectrum
62,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,31L9yLXSj6LpCFupyMV6CR,Up&Up
63,1hNS0RsxPTFjmKXCgmjSLS,Ghost Stories Live 2014,0zM6Zj4Iao1tJFHWc2PsrL,"Always in My Head - Live at the Royal Albert Hall, London"
64,1hNS0RsxPTFjmKXCgmjSLS,Ghost Stories Live 2014,3bVwuZb0nYvAMn3roElQnY,"Magic - Live at the Enmore Theatre, Sydney"
65,1hNS0RsxPTFjmKXCgmjSLS,Ghost Stories Live 2014,29G1awyCr8RHz9EsTwqC6P,"Ink - Live at Le Casino De Paris, Paris"
66,1hNS0RsxPTFjmKXCgmjSLS,Ghost Stories Live 2014,4KmOOVu1sdBLKJbfEm4p1X,"True Love - Live at the Enmore Theatre, Sydney"
67,1hNS0RsxPTFjmKXCgmjSLS,Ghost Stories Live 2014,5lsz74yVLAvt3anpHZHCTS,"Midnight - Live at the Royal Albert Hall, London"
